Scientific name,Number of occurrences
Gymnocrex plumbeiventris,0
Halisarca australiensis,17
Halone xylogramma,1
Handroanthus chrysanthus,4
Harpyopsis novaeguineae,0
Hasora discolor,1
Haustrum vinosum,3
Heliconia rostrata,2
Heliotropium arboreum,5
Hemeroblemma cariosa,30
Hemidactylus,414
Hemiergis talbingoensis,5
Hemiprocne mystacea,0
Henicopernis longicauda,0
Henicophaps albifrons,0
Henosepilachna vigintioctopunctata,177
Hibbertia riparia,16
Hibiscus lunariifolius,4
Hieraaetus weiskei,0
Hippocampus fisheri,0
Hipposideros maggietaylorae,0
Hirundo daurica,0
Hodebertia testalis,5
Homalanthus nutans,2
Honeyania ragusana,7
Hyalobathra illectalis,8
Hydrophis ornata ocellata,0
Hygrocybe aurantiosplendens,2
Hymenocallis littoralis,5
Hypatima cyrtopleura,9
Hypholoma sublateritium,2
Hypolimnas bolina bolina,154
Hypomecis phloepa,1
Hypomecis externaria,62
Hypomecis suasaria,28
Hypomecis crimnodes,1
Hypselodoris apolegma,1
Hypsopygia albidalis,95
Hypsopygia decoloralis,13
Hypsopygia acerasta,6
Imma obliquefasciata,1
Indolestes insularis,2
Iochroma cyaneum,1
Ischnura senegalensis,0
Jacaranda acutifolia,1
Laetiporus cincinnatus,1
Lamium galeobdolon,4
Lampranthus coccineus,1
Lantana urticoides,1
Lasioglossum sphecodoides,7
Lasioglossum urbanum,6
Laspeyria concavata,65
Leiobunum blackwalli,0
Leiobunum rotundum,0
Leiobunum limbatum,0
Leptocoma sericea,0
Leucinodes cordalis,84
Lichenaula lambda,5
Lissotriton vulgaris,0
Litoria corbeni,0
Livilla variegata,0
Locusta migratoria migratorioides,2
Locustella fasciolata,0
Lomera lurida,77
Lonchura nevermanni,0
Lonchura tristissima,0
Lonchura leucosticta,0
Lorius lory,0
Lyclene structa,92
Lyclene quadrilineata,7
Machetis serpentigera,2
Macropus robustus erubescens,8
Macropygia phasianella,165
Malurus alboscapulatus,0
Malurus cyanocephalus,0
Malurus lamberti assimilis,7
Mammillaria microhelia,1
Manucodia ater,0
Marchalina hellenica,0
Mecistoptera nycteropis,2
Megalurus mathewsi,21
Megalurus carteri,2
Megatriorchis doriae,0
Melastoma malabathricum,15
Melastoma melabathricum,1
Meleagris gallopavo domesticus,2
Melia azederach,39
Melidora macrorrhina,0
Meliphaga aruensis,0
Meliphaga analoga,0
Melomys leucogaster,0
Melomys rufescens,0
Mepleres crenulatus,0
Mepleres medialis,0
Mepleres papillosus,0
Mepleres yeni,0
Mepleres yenoides,0
Merops philippinus,0
Mesoptila melanolopha,9
Metrocampa biplaga,22
Microdynamis parva,0
Microeca flavovirescens,0
Micromelo guamensis,1
Micrommata virescens,1
Mino dumontii,0
Mitostoma chrysomelas,0
Mitrella scripta,1
Mola alexandrini,4
Mola tecta,1
Mosia nigrescens,0
Mycalesis terminus,53
Mycena lazulina,111
Mycena leaina,4
Myiagra nana,13
Myoictis wallacei,0
Myrioblephara desumpta,30
Myriochila semicincta,16
Myzomela nigrita,0
Naria erosa,20
Naria labrolineata,2
Nechesia stragulata,1
Nemophora topazias,1
Nerita polita antiquata,1
Nola fraterna,29
Nothoscordum gracile,10
Numida meleagris domesticus,15
Nyctimene aello,0
Nyctimystes brevipalmatus,7
Nyctimystes infrafrenatus,55
Oecanthus rufescens,1
Oedistoma pygmaeum,0
Oeonistis altica,0
Ogyris genovena,0
Okenia harastii,3
Oncidium sphacelatum,3
Onebala iridosoma,1
Onebala hibisci,1
Onychoprion aleuticus,6
Opilio ruzickai,0
Oreortyx pictus,1
Ornduffia renifromis,0
Orthoptila abruptella,8
Oryctolagus cuniculus domesticus,7
Osteospermum moniliferum moniliferum,95
Osteospermum moniliferum rotundatum,7
Oudemansiella gigaspora,26
Oudemansiella flavo-olivacea,2
Oxalis micrantha,1
Oxymacaria odontias,2
Oxyptilus causodes,1
Palpita annulata,1
Palythoa tuberculosa,9
Pandion haliaetus cristatus,181
Papuaepilachna guttatopustulata,8
Paradisaea raggiana,0
Paranyctimene raptor,0
Paranyctimene tenax,0
Parapodacanthus ailaketoae,1
Parapoynx sinuosa,1
Passiflora miniata,2
Patania balteata,25
Patella vulgata,1
Pecten maximus,2
Pelargonium graveolens,2
Peltoschema basicolle,4
Peltoschema maculiventre,1
Peltoschema suturale,7
Pentaceraster mammillatus,1
Perilla frutescens,1
Phalacrocorax purpurascens,3
Phazaca decorata,17
Phazaca cyclocrossa,27
Phazaca stolida,6
Philemon buceroides novaeguineae,0
Philetor brachypterus,0
Philiris azule,0
Philodendron xanadu,14
Philodendron subincisum,1
Philodendron bipinnatifidum,14
Phimenes arcuatus,9
Phricta aberrans,5
Phyllodesmium rudmani,1
Picipes melanopus,10
Picipes badius,3
Pipistrellus papuanus,0
Pitta sordida,0
Placida kevinleei,1
Placostylus bivaricosus etheridgei,0
Placostylus cuniculinsulae,0
Plagiobrissus grandis,3
Planigale novaeguineae,0
Planiliza subviridis,5
Planiliza alata,2
Platycercus eximius diemenensis,18
Platycercus elegans adelaidae,1122
Platycercus eximius x adscitus,0
Platydoris cinereobranchiata,1
Plumeria pudica,2
Podomyrma gastralis,1
Podoscypha petalodes petalodes,31
Poecilasthena euthecta,4
Pogona minima,33
Pogona mitchelli,1
Poliobotys ablactalis,4
Polyura sempronius,21
Pomatostomus isidorei,0
Poppiocapsidea biseratense,2
Porphyrio melanotus bellus,2
Porpolomopsis lewelliniae,12
Porzana porzana,61
Prasinocyma floresaria,1
Pseudeos fuscata,0
Pseudeustrotia macrosema,36
Pseudodistoma fragile,5
Pseudohydrobius neogallicus,0
Pseudorectes ferrugineus,0
Psilogramma casuarinae,57
Psittacula krameri,8
Psittacula eupatria,4
Psittaculirostris desmarestii,0
Pterodroma gouldi,1
Pteropus neohibernicus,0
Pterostylis squamata,9
Pterostylis cycnocephala,2
Ptilinopus coronulatus,0
Ptilinopus perlatus,0
Pycnopygius stictocephalus,0
Radjah radjah,88
Radjah radjah rufitergum,1
Ramalina darwiniana,0
Ramaria fennica,1
Ranoidea caerulea,357
Ranoidea chloris,17
Ranoidea raniformis,26
Ranoidea maculosa,0
Ranoidea maini,13
Ranoidea rheocola,15
Ranoidea splendida,4
Ranoidea vagitus,0
Ranoidea lesueurii,35
Ranoidea novaehollandiae,8
Ranoidea nudidigita,13
Ranoidea nyakalensis,0
Ranoidea aurea,4
Ranoidea lorica,0
Ranoidea manya,0
Ranoidea myola,7
Ranoidea nannotis,13
Ranoidea pearsoniana,2
Ranoidea phyllochroa,25
Ranoidea piperata,0
Ranoidea booroolongensis,2
Ranoidea alboguttata,10
Ranoidea andiirrmalin,0
Ranoidea brevipes,0
Ranoidea citropa,8
Ranoidea cultripes,2
Ranoidea dahlii,7
Ranoidea daviesae,2
Ranoidea dayi,8
Ranoidea eucnemis,1
Ranoidea gilleni,6
Ranoidea gracilenta,30
Ranoidea spenceri,1
Ranoidea australis,17
Ranoidea cavernicola,0
Ranoidea cryptotis,0
Ranoidea cyclorhynchus,13
Ranoidea longipes,5
Ranoidea moorei,191
Ranoidea platycephala,2
Ranoidea subglandulosa,1
Ranoidea verrucosa,1
Ranoidea xanthomera,12
Ranoidea barringtonensis,4
Ranoidea kroombitensis,0
Ranoidea serrata,29
Ranoidea wilcoxii,50
Ranoidea jungguy,23
Ranoidea bella,2
Ranoidea occidentalis,1
Ravenala madagascariensis,3
Rehimena infundibulalis,3
Restiophylus leptocarpi,0
Rhinotia phoenicoptera,25
Rhipidura,2145
Rhoecus australasiae,1
Rhyticeros plicatus,0
Roepera aurantiaca aurantiaca,4
Rousettus amplexicaudatus,0
Roystonea regia,4
Rubus fruticosus,107
